ds,y,yhat,yhat_lower,yhat_upper,Error,Absolute_Error,Absolute_Percentage_Error
2017-01-01,43971.374,28261.179279098887,23146.04599252016,33720.25740358111,15710.194720901116,15710.194720901116,35.72823246528779
2017-02-01,20301.1334,10073.433498212595,4402.009060424655,15627.350570168,10227.699901787404,10227.699901787404,50.379945297967474
2017-03-01,58872.3528,60424.33265990444,54579.521073389595,66256.58043879441,-1551.979859904437,1551.979859904437,2.6361777406396385
2017-04-01,36521.5361,44447.00702594756,38469.56822531406,50415.29930116644,-7925.470925947564,7925.470925947564,21.700814840445783
2017-05-01,44261.1102,52724.66033939418,47396.46836354479,58673.923277921705,-8463.550139394174,8463.550139394174,19.121865902482885
2017-06-01,52981.7257,45423.94844399803,39742.70905955958,51354.455063265654,7557.777256001973,7557.777256001973,14.264875588984397
2017-07-01,45264.416,45323.09654772306,39643.22139220117,50886.445096364645,-58.680547723059135,58.680547723059135,0.12963946717673136
2017-08-01,63120.888,40465.899128924706,34782.36669715976,45823.85886047774,22654.988871075293,22654.988871075293,35.89142926993564
2017-09-01,87866.652,84465.09076543504,78749.77758630773,90619.86647071691,3401.561234564957,3401.561234564957,3.8712767098090377
2017-10-01,77776.9232,57857.11127841712,52046.35026537363,64034.786376625016,19919.811921582885,19919.811921582885,25.611468160497875
2017-11-01,118447.825,89373.03681571549,83705.00039648594,95700.16882057478,29074.78818428451,29074.78818428451,24.54649393881611
2017-12-01,83829.3188,97013.91025967694,91295.45570260283,103242.22473409458,-13184.591459676943,13184.591459676943,15.72790003355836
